Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,2.000E+00,Trigger Level,2.000E+00,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,5.000e-01,Vertical Scale,1.000e+00,
Vertical Position,-1.780e+00,Vertical Position,-4.000e-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-04,Horizontal Scale,1.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,1.000e-07,Sampling Period,1.000e-07,
Horizontal Old Scale,1.000E-04,Horizontal Old Scale,1.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
1, ,77, ,
3, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
0, ,76, ,
0, ,79, ,
3, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
3, ,77, ,
3, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,76, ,
1, ,76, ,
3, ,77, ,
3, ,77, ,
1, ,75, ,
1, ,79, ,
1, ,77, ,
1, ,76, ,
3, ,77, ,
3, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,76, ,
1, ,79, ,
4, ,77, ,
0, ,77, ,
3, ,76, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
3, ,77, ,
3, ,77, ,
0, ,77, ,
0, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
1, ,76, ,
3, ,77, ,
3, ,77, ,
0, ,79, ,
1, ,79, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,76, ,
3, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,76, ,
3, ,77, ,
3, ,76, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,76, ,
-1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
3, ,77, ,
3, ,76, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
1, ,76, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
0, ,79, ,
1, ,77, ,
1, ,77, ,
3, ,76, ,
3, ,77, ,
1, ,76, ,
3, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,76, ,
1, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,77, ,
1, ,79, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,79, ,
3, ,77, ,
0, ,77, ,
3, ,76, ,
1, ,76, ,
1, ,79, ,
1, ,79, ,
4, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
0, ,77, ,
3, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
0, ,79, ,
0, ,77, ,
3, ,76, ,
0, ,79, ,
1, ,77, ,
1, ,77, ,
0, ,76, ,
3, ,76, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,79, ,
3, ,79, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
0, ,77, ,
1, ,79, ,
1, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,76, ,
3, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
3, ,77, ,
0, ,77, ,
1, ,76, ,
1, ,77, ,
3, ,77, ,
1, ,77, ,
3, ,77, ,
1, ,76, ,
3, ,77, ,
1, ,76, ,
1, ,77, ,
3, ,-78, ,
0, ,-72, ,
1, ,-73, ,
1, ,-73, ,
1, ,-72, ,
1, ,-71, ,
0, ,-71, ,
0, ,-71, ,
1, ,-71, ,
1, ,-71, ,
1, ,-70, ,
3, ,-71, ,
0, ,-70, ,
1, ,-70, ,
1, ,-71, ,
1, ,-71, ,
1, ,-71, ,
3, ,-71, ,
0, ,-70, ,
0, ,-70, ,
1, ,-71, ,
1, ,-71, ,
1, ,-69, ,
3, ,-69, ,
1, ,-71, ,
1, ,-70, ,
1, ,-70, ,
1, ,-70, ,
1, ,-70, ,
