Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,2.000E+00,Trigger Level,2.000E+00,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,1.000e+00,Vertical Scale,1.000e+00,
Vertical Position,-3.560e+00,Vertical Position,-4.000e-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-05,Horizontal Scale,1.000E-05,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,1.000e-08,Sampling Period,1.000e-08,
Horizontal Old Scale,1.000E-05,Horizontal Old Scale,1.000E-05,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
0, ,81, ,
1, ,84, ,
0, ,77, ,
1, ,87, ,
1, ,76, ,
2, ,83, ,
0, ,80, ,
1, ,80, ,
1, ,81, ,
0, ,79, ,
0, ,83, ,
1, ,79, ,
0, ,82, ,
0, ,81, ,
1, ,79, ,
1, ,82, ,
1, ,80, ,
2, ,80, ,
-1, ,80, ,
0, ,81, ,
1, ,80, ,
0, ,81, ,
0, ,81, ,
2, ,79, ,
0, ,80, ,
0, ,80, ,
1, ,79, ,
1, ,80, ,
0, ,80, ,
2, ,79, ,
-1, ,80, ,
1, ,80, ,
2, ,79, ,
0, ,80, ,
0, ,80, ,
1, ,79, ,
0, ,80, ,
0, ,80, ,
1, ,79, ,
1, ,79, ,
1, ,80, ,
2, ,77, ,
-1, ,80, ,
0, ,79, ,
1, ,79, ,
0, ,79, ,
0, ,79, ,
2, ,79, ,
0, ,79, ,
0, ,79, ,
1, ,79, ,
1, ,79, ,
1, ,79, ,
2, ,79, ,
-1, ,79, ,
0, ,79, ,
1, ,77, ,
1, ,79, ,
0, ,79, ,
1, ,77, ,
0, ,79, ,
0, ,79, ,
1, ,79, ,
1, ,79, ,
1, ,79, ,
2, ,77, ,
-1, ,79, ,
1, ,79, ,
2, ,76, ,
0, ,79, ,
0, ,79, ,
2, ,79, ,
0, ,79, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,77, ,
-1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,79, ,
0, ,79, ,
1, ,77, ,
0, ,79, ,
0, ,79, ,
0, ,77, ,
1, ,79, ,
1, ,77, ,
2, ,77, ,
-1, ,79, ,
1, ,79, ,
1, ,76, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,77, ,
-1, ,79, ,
0, ,79, ,
1, ,76, ,
1, ,79, ,
0, ,79, ,
2, ,77, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,79, ,
1, ,76, ,
1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
0, ,79, ,
1, ,76, ,
1, ,79, ,
0, ,77, ,
2, ,77, ,
0, ,79, ,
0, ,79, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,77, ,
1, ,76, ,
1, ,79, ,
0, ,79, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
0, ,77, ,
1, ,76, ,
1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
0, ,79, ,
2, ,76, ,
1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,79, ,
1, ,76, ,
1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
0, ,77, ,
1, ,76, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,79, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
0, ,79, ,
0, ,77, ,
1, ,76, ,
1, ,77, ,
0, ,77, ,
2, ,77, ,
0, ,79, ,
0, ,77, ,
1, ,77, ,
1, ,79, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,79, ,
1, ,76, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,77, ,
1, ,76, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
1, ,77, ,
1, ,76, ,
1, ,79, ,
0, ,77, ,
1, ,76, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,77, ,
1, ,79, ,
1, ,76, ,
1, ,77, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
0, ,79, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
0, ,77, ,
0, ,77, ,
1, ,77, ,
1, ,77, ,
1, ,77, ,
2, ,76, ,
-1, ,79, ,
