Format,1.0B,
Memory Length,100000,Memory Length,100000,
IntpDistance,0,IntpDistance,0,
Trigger Address,49999,Trigger Address,49999,
Trigger Level,2.000E+00,Trigger Level,2.000E+00,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,1.000e+00,Vertical Scale,1.000e+00,
Vertical Position,-3.560e+00,Vertical Position,-4.000e-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-05,Horizontal Scale,5.000E-05,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000e-09,Sampling Period,5.000e-09,
Horizontal Old Scale,5.000E-05,Horizontal Old Scale,5.000E-05,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
2, ,60, ,
0, ,68, ,
-1, ,83, ,
1, ,88, ,
0, ,83, ,
1, ,76, ,
2, ,79, ,
-1, ,85, ,
0, ,86, ,
0, ,82, ,
0, ,77, ,
1, ,79, ,
1, ,83, ,
0, ,84, ,
0, ,80, ,
0, ,77, ,
0, ,81, ,
1, ,83, ,
1, ,81, ,
0, ,80, ,
0, ,80, ,
0, ,81, ,
0, ,83, ,
1, ,81, ,
2, ,77, ,
0, ,80, ,
-1, ,82, ,
1, ,82, ,
0, ,81, ,
1, ,77, ,
1, ,80, ,
-1, ,82, ,
0, ,81, ,
0, ,81, ,
0, ,80, ,
1, ,81, ,
1, ,80, ,
0, ,81, ,
0, ,80, ,
0, ,80, ,
0, ,80, ,
1, ,80, ,
1, ,80, ,
0, ,81, ,
0, ,81, ,
0, ,80, ,
1, ,81, ,
0, ,80, ,
2, ,79, ,
1, ,80, ,
-1, ,81, ,
1, ,81, ,
0, ,80, ,
1, ,79, ,
1, ,80, ,
0, ,81, ,
1, ,80, ,
0, ,80, ,
0, ,80, ,
1, ,80, ,
1, ,79, ,
0, ,80, ,
0, ,80, ,
0, ,80, ,
0, ,80, ,
1, ,80, ,
1, ,79, ,
0, ,80, ,
1, ,80, ,
0, ,80, ,
